company,description,location,review,salary,star,title
City of Worcester,Experience manipulating data; The City’s Technical Services Division has an opening for a Programmer Analyst to provide application development and support for...,"Worcester, MA",11.0,61592.0,44.4,PROGRAMMER ANALYST
Swoon,The data analyst will gather information for input into databases and management presentations; Trends data and creates reports....,"Woonsocket, RI",,50000.0,,Data Analyst - W2
WestEd,"Analyzing and interpreting data;  Search, retrieve and analyze cost report data as needed.  Interpret data and help program staff understand and use the...","Boston, MA",7.0,76950.0,40.8,Financial Analyst II
"Generator & Power Systems, LLC","Maintain customer data and transactions, including quoting, work orders, and invoicing customers. Assure good communication and coordination between account...","Honolulu, HI",,47500.0,,Inside Sales & Service Coordinator
Buzz Franchise Brands,Develop and manage data collection plans for sourcing data from multiple sources. Experience with data analysis tools like Tableau....,"Virginia Beach, VA 23452 (North Central area)",,45000.0,,Reporting Analyst
Tuba Group,"Monitors functional automation systems and generates reports to ensure data quality. This requires an aptitude for numbers, thoroughness, accuracy, attention to...","Fort Lee, VA",,65000.0,,Civilian Pay Analyst
"Marine Hydraulics International, LLC.","Examine, research, and analyze general ledger accounting data in complex Excel spreadsheets. Extreme attention to detail, and ability to analyze complex...","Norfolk, VA",,46500.0,,Financial Analyst
City of Chesapeake,Data analysis for reporting and decision support. Establish quality assurance measures for these layers to ensure data conformity and integrity....,"Chesapeake, VA",52.0,55576.5,43.2,GIS Analyst
Management Analysis Technologies Inc.,IMMEDIATE OPENING MAT Inc. is a Service-Disabled Veteran-Owned Small Business with extensive analytical and program management experience and is committed to,"Norfolk, VA",6.0,82500.0,31.8,Information Technology Plans and Acquisition Analyst
Analyst Infotech Inc,"Working experience on data driven tests with external systems using REST API, SOAPUI etc. We have an urgent need for a Selenium and Performance QA Testers for...","Virginia Beach, VA",,75000.0,,QA Testers
Richmond Public Schools,Experience providing training in data driven instruction. Serves as liaison with Assessment Literacy and Research department for dissemination of data....,"Richmond, VA",122.0,57697.0,44.4,Instructional Assessment Analyst
Dept of Medical Asst Services,"Demonstrated ability to analyze data, resolve concerns, and identify changes in program requirements or policies....","Richmond, VA",,55307.0,,01080 Program Analyst
Dept of Medical Asst Services,"The Fiscal Division seeks a Recovery Analyst for the Third Party Liability (TPL) Unit. This position identifies, investigates and recovers funds due the...","Richmond, VA",,37799.0,,01085 RECOVERY ANALYST
RichmondGov.com,"Monday - Friday, 8 a.m. - 5 p.m.Mayor Dwight C. Assisting departmental and city staff in reviewing, assessing/analyzing performance data of assigned agencies....","Richmond, VA",,67901.0,,Budget and Management Analyst
A2Z INCORPORATED,3 years experience executing ship acquisition and fleet sustainment support services utilizing any of the following MSC/Navy /Coast Guard databases/systems such...,"Norfolk, VA",,53000.0,,INTEGRATED LOGISTICS/CONFIGURATION ANALYST
Chesterfield County Public Schools,"Utilization of technology to organize, analyze and synthesize data. Utilizes Microsoft, Google Sheets and accounting software packages to perform complex...","Chesterfield, VA 23832",90.0,74489.5,51.6,Financial Analyst
VA Commonwealth Univ,"Purpose of Position: â?¢ Provides technical leadership and guidance in support of various third-party applications (eg. FM Interact, AiM Asset Management, FMD","Richmond, VA",,65000.0,,Information Technology Analyst
VA Information Technologies (136),"The Virginia Information Technologies Agency ( VITA ) is currently seeking a Contract Analyst within its Legal and Legislative Services Directorate, Supply...","Chesterfield, VA",,61171.0,,Contract Analyst
VA Information Technologies Agency,"The Virginia Information Technologies Agency (VITA) is currently seeking a Contract Analyst within its Legal and Legislative Services Directorate, Supply Chain...","Chesterfield, VA",,61171.0,,Contract Analyst
Dept of Medical Asst Services (602),This senior business analyst will conduct quantitative analysis and craft insights based on data to help DMAS design alternative payment methodologies that...,"Richmond, VA",,73671.0,,01048 SENIOR BUSINESS ANALYST
Dept of Medical Asst Services,This senior business analyst will conduct quantitative analysis and craft insights based on data to help DMAS design alternative payment methodologies that...,"Richmond, VA",,73671.0,,01048 SENIOR BUSINESS ANALYST
VA Information Technologies Agency,The Virginia Information Technologies Agency (VITA) is currently seeking a Senior Risk Analyst within its Commonwealth Security and Risk Management Directorate....,"Chesterfield, VA",,90793.0,,Senior Risk Analyst
Dept of State Police,To analyze and interpret results of studies related to financial and non-financial data; The Virginia Department of State Police is seeking qualified applicants...,"Chesterfield, VA",,47982.0,,Auditor Senior - Internal (ARMICS Compliance Analyst)
RichmondGov.com,"Monday - Friday, 8 a.m. - 5 p.m.Mayor Dwight C. Direct supervision of four civilians and one sworn staff, plus seven additional Crime Analysts;...","Richmond, VA",,78930.0,,Operations Manager - Planning
"The Ascendant Group, LLC","""Data Analyst"" SQL T-SQL SSIS SSRS SSAS data mining MySQL PL/SQL reports forms data loads data extracts. Reviews and evaluates detailed business, functional and...","Norfolk, VA 23502",,67500.0,,Data Analyst
Richmond Public Schools,"Visual acuity is required for preparing and analyzing written or computer data. Must have professional experience as a Human Resources Manager, Coordinator,...","Richmond, VA",122.0,106818.5,44.4,Manager of Talent Acquisition
Department of the Air Force,"Research, evaluate, integrate, and analyze all-source data in the preparation of clear, concise, in-depth intelligence analytical products focusing on the...","Langley AFB, VA",14723.0,82994.5,54.0,INTELLIGENCE OPERATIONS SPECIALIST
Futurewave systems,"Utilizing the data infrastructure by extracting, aggregating, and dissecting financial data and performance metrics, the Senior Analyst highlights findings for...","Norfolk, VA",,61000.0,,Sr. Financial Analyst
Navy Exchange Service Command,Reports directly to a Supply Chain Systems Support Analyst. Ensures the data entry process is accomplished in a timely and accurate manner....,"Virginia Beach, VA",709.0,31668.5,44.4,SUPPLY CHAIN SYSEMS TECH (Flex Full Time) Not to exceed 180 days
Dept of Medical Asst Services (602),"Demonstrated ability to analyze data, resolve concerns, and identify changes in program requirements or policies....","Richmond, VA",,55307.0,,01080 Program Analyst
Dept of Emergency Management (127),This position also conducts the annual data collection for the DHS Special Event Data Call and maintains up-to-date special event data at all times....,"Chesterfield, VA",,36000.0,,Senior Watch Analyst
Dept of Emergency Management,This position also conducts the annual data collection for the DHS Special Event Data Call and maintains up-to-date special event data at all times....,"Chesterfield, VA",,36000.0,,Senior Watch Analyst
Department of the Air Force,"Or equivalent, or 3 years of progressively higher level graduate education leading to such a degree. Experience, education or training that has provided a basic...","Langley AFB, VA",14723.0,71009.0,54.0,IT Specialist (INFOSEC/NETWORK)
Search Pro Group,"Gathers data from departments, updates periodic reports, and analyzes statistical data to identify and correct errors and to evaluate general content....","Virginia Beach, VA",,75000.0,,Accounting Senior
County of El Dorado,Information Technology Analyst I:. Information Technology Analyst Trainee:. Monitors and collects data on system performance....,"Placerville, CA",5.0,80537.5,30.6,INFORMATION TECHNOLOGY ANALYST II - APP/WEB DEV/SUPPORT
Medline Industries,"Collaborate with Sales, IS and Finance to develop, create and maintain reporting requirements and ensure systems provide accurate and timely data....","Tulsa, OK",493.0,50000.0,42.0,Sales Analyst
Department of the Air Force,"Skilled in collecting and analyzing data effectively, efficiently, and accurately; This National Guard position is for a BUDGET ANALYST, Position Description...","Tulsa, OK",14723.0,69240.0,54.0,BUDGET ANALYST
"Veterans Affairs, Veterans Health Administration",Performing data entry. The incumbent serves as an advisor and program analyst for the Mental Health Product Line....,"Tulsa, OK",2815.0,46788.5,51.0,Administrative Support Assistant
Seres Smith Consulting,"Financial Analyst - Business Analyst. Creation, validation, analysis, and communication of financial and operational data....","Tulsa, OK",,70000.0,,Financial Analyst - Business Analyst
Seres Smith Consulting,Ability to retrieve data from various sources and prepare data for analysis. Sales and Marketing Operations Analyst....,"Tulsa, OK",,55000.0,,Sales and Marketing Operations Analyst
The Symicor Group,"Commercial Credit Analyst responsibilities include:. Our client is seeking to fill a Commercial Credit Analyst role located in the greater Tulsa, OK market....","Tulsa, OK",,75000.0,,"Commercial Credit Analyst - Up to 75K - Tulsa, OK - 1042"
Seres Smith Consulting,"Support ad-hoc data mining and query requests. Support group’s need for data and analytical support. This would require use of data mining, reporting and...","Grove, OK",,70000.0,,"Financial Analyst - Grove, OK"
Lumina Analytics,"Our IT Analysts are the backbone of our company; Feeding and supporting the transformation of big, messy data into actionable intelligence for our clients....","Tampa, FL",,32500.0,,Junior IT Analyst
Quiet Professionals LLC,"Tactical Intelligence Analyst*. A minimum of one year experience using Analyst Notebook (ANB). The Tactical Intelligence Analyst is responsible for analysis,...","Tampa, FL 33607 (Carver City area)",,95000.0,,Tactical Intel Analyst
"Quiet Professionals, LLC",Analyst Notebook (ANB):. A minimum of one year experience using Analyst Notebook (ANB). Deploy within 3 to 4 weeks after receiving government approval....,"Tampa, FL 33607 (Carver City area)",,91000.0,,Tactical Intelligence Analysts
"Hillsborough County, FL","Ability to investigate, familiarize and master new data sources and tables quickly. Responds to user ad-hoc requests for data, advising and assisting with...","Tampa, FL",11.0,80225.5,40.8,Senior Functional Business Analyst
Etech Hi Inc.,"Control systems analyst, systems analyst, senior systems analyst, sr. systems analyst, senior controls systems analyst, sr. controls systems analyst, controls...","Tampa, FL",,85000.0,,Sr. Operations Analyst
Polk County RPO,"HEALTH PLAN FINANCIAL ANALYST. Prepare, analyze and interpret reports and statistical data on health plan performance as well as utilization data....","Bartow, FL 33830",,57013.0,,Health Plan Financial Analyst (Risk Management) - Polk County BoCC
University of South Florida,"9506 / Program Planner Analyst. Develop data collection methods to gather information such as strategic plan data, various survey and assessment data, college...","Tampa, FL",335.0,45000.0,52.2,Data Management Administrator
The State of Florida,"PROGRAM ANALYST - 55013480. Knowledge of the methods of data collection and analysis. Ability to organize data into logical format for presentation in reports,...","Ocoee, FL",17.0,39977.0,27.0,PROGRAM ANALYST
CRG Workforce Inc.,"Creation and design of informative reports/analysis through the collection, organization, and validation of data from various sources using spreadsheet and...","Bradenton, FL",,40000.0,,Entry Level Financial Analyst
The State of Florida,HUMAN SERVICES PROGRAM ANALYST - 64006662. This position has the responsibility to carry out information custodian duties as specified on the FL DOH Information...,"Fort Myers, FL 33916",17.0,37425.0,27.0,HUMAN SERVICES PROGRAM ANALYST
CRG Workforce Inc.,"Apply data mining techniques to unstructured data sets as required. Assist VP of Finance in supporting financial analysis needs of organization, by creating and...","Bradenton, FL",,40000.0,,Entry Level Financial/ Fixed Assists Analyst
University of Arizona,This position would manage two Information Technology Support Analysts as well as a handful of high level student workers....,"Tucson, AZ",314.0,52000.0,53.4,"Information Technology Support Analyst, Senior"
APN Staffing & Employment Solutions- Luxury Dealer,Management responsibilities for the PACS/RIS Analyst and Application Analyst of the IST Radiology Informatics Team....,"Gilbert, AZ",,79000.0,,PACS Administrator
Matrix Resources,"Business Analyst / Project Manager. A minimum of 10 years of business analyst experience is required. Strong understanding of Web Project life cycle, software...","Chandler, AZ",35.0,100000.0,51.0,Business Analyst / Project Manager
Herren Associates,Project Analyst to join our team and assist our office as well as make an impact with our Federal sector clients. Herren Associates is seeking a full-time Jr....,"Washington, DC",,40000.0,,Jr. Project Analyst
U.S. Federal Government,"Support DA Division analytics projects with basic data research, data extraction, analysis, and visualization....","Arlington, VA",347.0,63219.5,52.8,Entry Level Business Analyst
NTS,Use data to understand business patterns and trends. We are seeking a Business Analyst to become an integral part of our team! Strong attention to detail....,"Washington, DC",,61500.0,,Business Analyst
University of Virginia,The incumbent will ensure high quality data is collected for analysis and continually verify integrity of data;...,"Charlottesville, VA",165.0,45000.0,52.2,"Data Analyst, Epilepsy Program"
Federal Aviation Administration,Experience collecting and analyzing data related to administrative and management programs to ensure compliance within the organization....,"Washington, DC",604.0,66916.0,52.2,Program Analyst
Metropolitan Police Department,"Meticulous documentation skills, organizational ability, and attention to detail. Research and obtain data and information from automated and manual resources...","Washington, DC",109.0,70383.0,51.6,Criminal Research Specialist
LOCFIT LLC,This SAS Data Analyst position is located in Washington DC. Create data dissemination reports which summarize data in an easy-to-understand manner....,"Washington, DC",,130000.0,,Senior SAS Data Analyst (Salary up to 150k)
Legislative Branch,"The position’s primary focus is the broad area of privacy, cybersecurity, and data protection law. Knowledge of privacy, cybersecurity, and data protection law...","Washington, DC",,109015.0,,"Legislative Attorney (Privacy, Cybersecurity, and Data Protection Law)"
Local Government DC,"PMP, Certified Business Analyst. Data report development experience is a plus. 9 month assignment - Looking for experienced business analyst with prior...","Washington, DC",,100000.0,,Business Analyst (IT)
District of Columbia Public Schools,"Uses appropriate technology to maintain accurate inventory and delivery data. The Analyst, Cornerstones Logistics will report to the Director, Cornerstones....","Washington, DC",145.0,55670.5,42.0,"Analyst, Cornerstones Logistics"
"Aging, Office on","And the ability and skill to identify, extract, and manipulate relational data from multiple electronic sources into useful, accurate reports and files....","Washington, DC",,65073.5,,Resource Allocation Analyst
Department of Homeland Security,"If you are currently, or have been within the last 5 years, a political Schedule A, Schedule C, Non-career SES or Presidential Appointee employee in the...","Washington, DC 20005 (Logan Circle area)",1750.0,91679.5,44.4,Program Analyst
Mission Services Inc. (MSI),Job Title: Intelligence Analyst Work Location: Afghanistan 12 month deployment Clearance: Requires an active TS/SCI clearance Education: Associate,"Washington, DC",,85000.0,,Intelligence Analyst OCONUS
"City of Alexandria, VA","The Program Analyst often serves as an internal performance analyst, evaluator and advisor to management on a wide range of complex operational issues....","Alexandria, VA",3.0,75129.0,52.8,Program Analyst
"Greenblum & Bernstein, P.L.C.","The position is responsible for generating reports, analyze business procedures and issues, monitor and report data issues....","Reston, VA",,55000.0,,Report Writer/Business Analyst
Department of Housing And Urban Development,"As a Credit Risk Analyst, you will:. HUD employees are prohibited under Section 7501.104, 5 Code of Federal Regulations from directly or indirectly owning,...","Washington, DC",29.0,128825.0,52.8,Credit Risk Analyst
National Security Agency,Analyzing data using mathematical/statistical methods. An Associate's degree plus 5 years of relevant experience may be considered for individuals with in-depth...,"Fort Meade, MD",117.0,77025.0,53.4,Cryptographic Vulnerability Analyst - Entry/Mid-Level
Department of Defense,"Under the provisions of 5 USC 3110, an individual may not be appointed into a position if the position is under the supervisory chain of command of a relative....","Arlington, VA",3048.0,109015.0,52.8,Program Analyst
Taurean,Skilled in data management and knowledgeable of principles of data management systems. Experience with FBI data Systems/repositories preferred....,"Quantico, VA",2.0,62500.0,51.0,Jr Intelligence Analyst(Current Top Secret Clearance required)
Central Intelligence Agency,Please address why you want to work as an analyst and what differentiates you from other applicants. Agency analysts are encouraged to maintain and broaden...,"Washington, DC",109.0,65895.5,53.4,Leadership Analyst
Reset Resource Group,"Monitoring indicators and warnings of threats and potential threats to voice, video, and data networks and associated systems....","Manassas, VA",,80000.0,,Junior SOC Analyst
Department of the Army,"As a Program Analyst GS-0304-09, you will:. The National Guard is the oldest component of the Armed Forces of the United States....","Johnston, IA",43063.0,57231.0,53.4,PROGRAM ANALYST
MidAmerican Energy,Develops reports and analyzes data for responding to training data requests and meeting regulatory requirements....,"Des Moines, IA",36.0,60450.0,41.4,Training Analyst
MidAmerican Energy,"Analyze claims data to determine trends and proactively address issues. The claims analyst II reviews, researches, tracks, and analyzes individual delivery...","Des Moines, IA",36.0,60450.0,41.4,Claims Analyst II
P3,Other projects will include system and technology upgrades and data integration and migration projects. Lead the elicitation of detailed requirements from the...,"West Des Moines, IA",18.0,90000.0,43.8,Business Analyst
Palmer Group,"Provide compensation reviews, maintain compensation pay structure and benchmark data. Palmer Group has partnered with an international leader in industrial...","Des Moines, IA",18.0,75000.0,39.0,Human Resources Generalist--Analyst
State of Iowa Talent Gateway,Maintains accurate and complete historical cost data for budget administration and fiscal analysis. Substitution of work experience in the public or private...,"Des Moines, IA 50319 (East Village area)",,52104.0,,Accountant 2
HireQuality Solutions,"Senior Reporting Analyst. We are seeking a seasoned Reporting Analyst with SEC reporting, SOX knowledge and strong analytical skills to analyze results for...","Des Moines, IA",,85000.0,,Senior Reporting Analyst
College Concepts LLC,Data Analyst Job Responsibilities. Data Set Up (LANSA/Internal). Garment spec data (customer finishing). Running reports from retailer data system....,"Atlanta, GA 30339",,42500.0,,Data Analyst
Emory University,Manage data sets and conduct data cleaning to facilitate data export to statistics packages. Creates and maintains a data dictionary and meta data....,"Atlanta, GA",307.0,77000.0,51.6,Data Analyst
Inverselogix,* Strong SQL skills. * Strong data analysis skills. * Oracle EBS Order to Cash / Order Management skills needed. * Good communication skills. * Must be able...,"Atlanta, GA",,65000.0,,Data Analyst II
Centers for Disease Control and Prevention,As a Program Analyst you will:. Develop metrics and analyze data to assess programmatic processes and outcomes....,"Atlanta, GA",85.0,103525.5,53.4,Program Analyst
Principle Solutions Group,Requirements for Data Management Analyst:. Strong experience as an analyst working with various business units to provide support around enterprise data...,"Atlanta, GA",13.0,105000.0,51.6,Data Management Analyst (Reporting & BI)
Applied Resource Group,Monitor and collect data on system performance. Applied Resource Group is looking for an EDI Analyst for one of our enterprise clients in the North Atlanta area...,"Atlanta, GA",2.0,95000.0,60.0,EDI Analyst
"DeKalb County, GA","Analyzes data and identifies trends; Compiles and monitors various administrative and statistical data, billing, and financial activities of the department;...","DeKalb County, GA",7.0,54746.5,44.4,Billing Analyst
Applied Resource Group,This position requires 5+ years of prior experience as a data analyst or architect. Applied Resource Group is seeking a Senior Data Analyst for one of our...,"Atlanta, GA",2.0,107500.0,60.0,Sr. Data Analyst
Lockheed Martin,"Working knowledge of Access to collect and manipulate proposal data for analysis and able to develop schedules using MS Project Experience in analysis of cost,...","Marietta, GA 30063",4253.0,50000.0,51.6,Proposal Analyst - Entry Level
"Royal Oak Enterprises, LLC","Analyze data from internal sources, syndicated data, and customer POS to identify key trends, opportunities and market share changes....","Roswell, GA 30076",,46000.0,,Marketing Administrator/Analyst
"Royal Oak Enterprises, LLC","Analyze data from internal sources, syndicated data, and customer POS to identify key trends, opportunities and market share changes....","Roswell, GA 30076",,46000.0,,Sales Administrator/Analyst
Emory University,"Collects, compiles and analyzes data. Bachelor's degree and two years of experience in compiling and analyzing data, or equivalent combination of experience,...","Atlanta, GA",307.0,52700.0,51.6,Information Analyst II
Emory University,"Identifies methodologies to enhance data retention practices. Analyzes historical data, models alternative scenarios and projects future trends....","Atlanta, GA",307.0,70000.0,51.6,Decision Support Analyst
Emory University,Assures that the data released is in accordance with FERPA. Assists in the conversion of data input and troubleshooting with On-Base....,"Atlanta, GA",307.0,70000.0,51.6,Business Analyst I
Emory University,Assists in year-end audits and in ensuring the accuracy of accounting data. Analyzes historical accounting data and other information to make projections which...,"Atlanta, GA",307.0,64100.0,51.6,Financial Analyst
Georgia Department of Education,Job duties include but are not limited to monitoring data collection applications and districts during Data Collection cycles to ensure effectiveness and...,"Atlanta, GA 30334 (Adair Park area)",14.0,46311.0,53.4,Helpdesk Analyst 1
JSP Recruitment Services,"Responsibilities of the Data Analyst*. Salary for the Data Analyst $64,200 - $96,400. They are looking for exceptional individuals to join their Advanced Data...","Duluth, GA",,80300.0,,Data Analyst
"City of Atlanta, GA",5 years data analysis experience. Ability to review data and identify data trends and/or inconsistencies. Position does not perform data entry....,"Atlanta, GA",287.0,47800.0,43.8,"Data/Reporting Analyst, Senior (OWTR)"
Verint/Major Oak Consulting,Analyzing data and IT/systems to derive business and functional level requirements. Attention to detail and perseverance to completion....,"Atlanta, GA",,100000.0,,Business Analyst
Emory University,Handles inputting of energy and water data in Portfolio Manager and reporting of greenhouse gas data in support of the University's Climate Action Plan and...,"Atlanta, GA",307.0,85500.0,51.6,Energy Analyst
University System of Georgia,"Systems Analyst, Advanced Entry Level. Skill in the use of Structured Query Language (SQL) for data retrieval, data manipulation, and the creation and...","Athens, GA",5.0,47144.0,51.0,"Systems Analyst, Advanced Entry Level"
Relevante,"Mortgage Servicing Business Analyst. Design, write and maintain data requests and queries to support the business....","Atlanta, GA",12.0,41000.0,43.8,Mortgage Servicing Business Analyst
"Neomed, Inc.",Sales and Marketing Analyst. Ad hoc reporting requests and data review. Maintain and ensure data accuracy of sales and customer records as a basis for monthly...,"Woodstock, GA 30188",,40000.0,,Contracts Analyst
Infor,"DEAL DESK/CONTRACT ANALYST ALPHARETTA, GA*. Infor is seeking highly motivated, results-oriented professionals to join the Infor Deal Desk/Contract Analyst....","Atlanta, GA",190.0,42500.0,43.2,Contract Analyst
Principle Solutions Group,"Requirements for Senior Business Data Analyst:. Senior Business Data Analyst (Banking, Consumer Lending). Our enterprise client is looking for a Senior Business...","Atlanta, GA",13.0,110000.0,51.6,"Senior Business Data Analyst (Banking, Consumer Lending)"
Columbus Consolidated Government,"Gathering and analyzing complex data. Creates graphs, spreadsheets, tables, graphics, and summary text to provide information in regards to portions of the...","Columbus, GA",50.0,39947.0,42.6,Budget and Management Analyst - G17
Accreditation Council for Continuing Medical Educa...,"Use queries and reports to monitor and analyze data quality, support the production of the ACCME Annual Data Report, determine effectiveness of data services in...","Chicago, IL 60611 (Near North Side area)",,75000.0,,Technical Business Analyst
City of Chicago,CHIEF REVENUE ANALYST. Chief Revenue Analyst is responsible for. Or 3) you can complete the online resume fields....,"Chicago, IL",286.0,82164.0,51.6,CHIEF REVENUE ANALYST
Village of Oak Park,Prepare a data processing disaster recovery plan; Prepare test data for testing various computer programs. Analyze data and develop logical solutions to complex...,"Oak Park, IL",11.0,56148.0,42.0,Systems Analyst
Infutor Data Solutions,"2+ years in a Business Analyst role. Experience identifying and modeling process, data, business rules, and test requirements....","Oak Brook, IL",,80000.0,,Business Analyst
"Essex Realty Group, Inc.","Catalogue and track comparable property sales, active listings, and historical sales data. Essex Realty Group, Inc....","Chicago, IL 60614 (Lincoln Park area)",,45000.0,,Brokerage Support Analyst
Motor Vehicle Software Corporation,"3 - 5 years work experience. Analysis & Data Crunching:. Meet with end users to identify, assess, document, and review business requirements....","Oak Brook, IL 60523",,75000.0,,Business Analyst/Tester
Lake County IL,Business Process Analyst. Are you looking for a challenging role with rewarding compensation and an excellent benefit package?...,"Waukegan, IL",2.0,56840.0,60.0,Business Process Analyst - 19th Judicial Court
"AmeriCash Loans, LLC","The Quality Assurance (QA) Analyst completes quality assurance evaluations, data analysis, and reports findings for the different lines of business across...","Des Plaines, IL",11.0,50000.0,42.6,Quality Assurance Analyst
Huxley Banking & Financial Services,"They are in need of a Senior Business Risk Analyst to work on their complex, Risk Analytics Platform. At least 3 years of experience working in a middle office...","Chicago, IL",,180000.0,,Business Risk Analyst
Bernalillo County Government,"Data processing techniques, including the types of hardware and software currently used to process data with different levels of complexity....","Albuquerque, NM",,44709.5,,Information Technology Analyst I - Application Development
City of Albuquerque,"Data management and tracking. Perform a variety of paraprofessional Human Resources activities within an assigned department including recruitment, payroll,...","Albuquerque, NM",81.0,45801.5,44.4,Human Resources Analyst I E14
"National Indian Council on Aging, Inc.","NICOA Elder Equity-TAC Technical Communications Analyst*. Research and data entry for project deliverables. NICOA is currently seeking a full time, non-exempt,...","Albuquerque, NM 87111",,42640.0,,Technical Communications Analyst
Bernalillo County Government,"Ability to use math and calculations to evaluate compensation data or other statistical data. Research, collect and analyze market data and analyzing internal...","Albuquerque, NM",,49025.5,,Classification and Compensation Analyst
Department of Veterans Affairs - Agency Wide,"Tasks include extracting data from VA's corporate data systems and/or developing database applications to collect new data, conduct surveys, or provide other...","Albuquerque, NM",,59632.0,,Program Analyst (TCF)
Department of the Army,Analyzing report data which records transactions. Advising and assisting financial analysts in supported organizations on these....,"Santa Fe, NM",43063.0,67428.0,53.4,Accounting Officer
Bernalillo County Government,"Compile and analyze data on economic, social, and physical factors affecting land use, and prepare or requisition graphic/narrative reports on that data....","Albuquerque, NM",,52738.0,,Program Planner/Impact Fee Administrator
Pueblo of Sandia,Supervision ExercisedReports to the Database Manager.Major Duties and Responsibilities1.Develop and execute monthly marketing reports.2.Maintain internal data...,"Albuquerque, NM 87113 (Alameda N Valley area)",2.0,64747.0,39.0,DATABASE MARKETING ANALYST
Sandia Casino,"Post by Jobing - Location Sandia Casino Job Code Shift Varied Pay Rate $55,000 to $74,000 Category Casino Employment Status Full-Time Position SummaryUnder the...","Albuquerque, NM 87113 (Alameda N Valley area)",17.0,64500.0,44.4,SLOTS PERFORMANCE ANALYST
Pueblo of Sandia,"Coordinate efforts for system and user administration to ensure the reliability, availability, integrity and security of data of the Sandia Resort and Casino...","Albuquerque, NM 87113 (Alameda N Valley area)",2.0,74000.0,39.0,SYSTEMS ANALYST II
"Veterans Affairs, Veterans Health Administration","Management and Program Analyst, #2163A. He/she conducts extensive research and compiles data from diverse sources....","Fresno, CA",,71793.0,,Management and Program Analyst (Systems Redesign)
Diocese of Fresno,"Whisenhunt, Human Resources Analyst. Gather, analyze and interpret research and data associated with lay formation ministry programs and services....","Fresno, CA 93703 (McLane area)",,52500.0,,Coordinator School of Ministry
Wonderful Orchards,Experience analyzing an array of data types including medical claim. Analysis and research of monthly eligibility data to ensure completeness and accuracy....,"Shafter, CA 93263",2.0,70000.0,42.0,Sr. HR Benefits Analyst
"Miceli-Watters, STAFFING PARTNERS",Work with accountants and others to accumulate data and other information for ABP preparation along with the data necessary to ensure the ABP is met....,"Modesto, CA",,92500.0,,BUDGET / FINANCIAL ANALYST
Inner Circle Search,"Ensuring data integrity, testing of system changes, report writing and analyzing data flows. Heavy experience with HRIS systems and data....","Westside, CA",,80000.0,,HRIS Senior Analyst - J
Dept of Commerce,"Business System Analyst (3 positions). Register by completing the online Personal Data Form . Two years’ experience in analyzing data, project management or...","Shawnee County, KS",591.0,62000.0,52.2,Business Systems Analyst
Department of the Army,Summarizes and interprets significant data collected and relates this data to the organizations program actions;...,"Topeka, KS",43063.0,52933.0,53.4,PROGRAM ANALYST
Crunch Data,"A passion for data visualization and a meticulous attention to detail. Strong knowledge of data models and data mining techniques, database design and writing...","Kansas City, KS",,65000.0,,Business Analyst - Analytics and Data Visualization
Department of the Army,"Experience, education or training that has provided a basic knowledge of data processing functions and general management principles that enabled the applicant...","Topeka, KS",43063.0,117158.5,53.4,SUPV IT SPECIALIST (PLCYPLN)
University of Kansas,"Designs the overall system security strategy ensuring confidential data, including data governed by federal law, is appropriately secured....","Lawrence, KS",129.0,53547.0,52.8,Application Administrator
TEKSystems,"Ability to define problems, collect data, establish facts, and draw valid conclusions. Experience effectively identifying requirements for infrastructure...","Kansas City, MO",1936.0,72500.0,44.4,Business Analyst
Ajilon,We prefer a bachelor’s degree but if you have over 3 years of experience in planning and data analysis then you will still be considered!...,"Overland Park, KS 66210",384.0,47500.0,44.4,Supply Planning Analyst
Dept of Commerce,Register by completing the online Personal Data Form . Meet with Business Analysts to discuss how to implement new requirements....,"Shawnee County, KS",591.0,70400.0,52.2,Applications Developer
Kansys Inc.,"Interpret results using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining....","Kansas City, MO 64120 (Northest Industrial District area)",,60000.0,,Data Analyst
"Premier Tech, Inc.",Monitor and troubleshoot data integration processes as required. Systems Integration Analyst to join our growing Application Services team....,"Overland Park, KS 66210",,100000.0,,Sr. Systems Integration Analyst (DSI/JDE)
Analytic Recruiting,"Consumer Credit Card Risk Strategy Analyst sought by start up financial services firm in their Kansas City, MO offices....","Kansas City, MO",2.0,90000.0,51.0,Consumer Credit Card Risk Strategy Analyst
Analysts International Corporation (AIC),Data analysis and ability to proactively identify trends. Monitoring of the Production and Disaster Recovery Data Centers and related components....,"Kansas City, MO",3.0,50000.0,43.2,NOC Technician
Highland Community College,"Application Analyst, Project Analyst, Business Intelligence, SQL, Microsoft Dynamics Great Plains, PowerFaids, Ellucian PowerCampus, Microsoft Office, Macintosh...","Highland, KS 66035",20.0,49000.0,52.8,Application and Project Analyst
Kansys Inc.,"A naturally analytical person with an appreciation for data driven decision making. Prior success as either an IT Analyst, a Developer or an IT Architect....","Overland Park, KS",,95000.0,,IT Project Manager
Proficient Business Systems Inc,"Experience 2 years of experience in Salesforce development with refactoring skills gained in a business environment including Custom Objects, Large Data Volumes...","Kansas City, MO 64112 (Sunset Hill area)",,80000.0,,SalesForce Developer
University of Kentucky,"This position requires the ability to write complex SQL queries for data extraction and reporting from health data claims, specifically Kentucky Medicaid data....","Lexington, KY",262.0,64292.5,52.2,Database Analyst
